99.26;;;;;90-95 Basic Female ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
83 ;14.68;21.58;31.32;40.90;50.78;62.93;75.55;87.18;97.60;112.39;131.75;156.30;187.14;223.40;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;696.13
84 ;18.23;27.84;36.77;48.07;59.15;74.52;84.68;97.23;111.66;131.51;156.02;186.86;223.23;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;797.30
85 ;23.87;35.80;44.99;58.81;71.12;84.15;96.96;111.20;130.80;155.64;186.57;223.07;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;882.54
86 ;31.47;44.24;55.50;70.74;83.56;96.37;110.96;130.37;155.05;186.29;222.91;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;925.84
87 ;40.58;54.85;67.49;82.95;95.83;110.44;130.17;154.69;185.84;222.74;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;948.91
88 ;51.08;67.21;79.85;95.26;109.93;129.70;154.51;185.57;222.48;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;963.10
89 ;63.12;79.10;92.42;109.43;129.26;154.12;185.42;222.32;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;970.31
90 ;75.69;91.67;106.88;128.81;153.74;185.12;222.26;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;975.16
91 ;88.61;106.18;126.56;153.39;184.86;222.09;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;980.04
92 ;103.46;125.46;151.47;184.57;221.93;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;984.94
93 ;123.54;151.07;183.12;221.76;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;989.86
94 ;148.92;183.10;220.94;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;996.16
95 ;181.17;220.21;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;992.33;999.99
96 ;219.84;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;992.33;999.99;999.99
97 ;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;992.33;999.99;999.99;999.99
98 ;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;992.33;999.99;999.99;999.99;999.99
99 ;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;575.74;650.59;741.67;852.92;912.15;939.52;958.31;967.89;972.73;977.60;982.48;987.40;992.33;999.99;999.99;999.99;999.99;999.99
100 ;;;;;;;;;;;;;;;;;;;;;;;;;;
