99.26;;;;;90-95 Basic Male ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
58 ;1.79;2.83;3.94;4.87;5.88;7.32;9.14;10.88;12.32;13.67;15.08;16.40;18.52;20.74;22.70;26.25;28.78;31.65;36.39;41.62;48.13;54.38;62.40;71.41;79.31;90.30
59 ;1.96;3.06;4.25;5.37;6.59;8.22;10.08;11.70;13.07;14.50;15.90;17.55;19.97;22.63;24.83;28.59;31.49;36.17;41.12;47.58;53.77;61.73;70.72;78.91;86.20;99.19
60 ;2.17;3.34;4.60;5.90;7.32;9.16;10.99;12.49;13.83;15.33;16.90;18.84;21.61;24.73;27.18;31.28;36.05;40.85;47.04;53.17;61.06;70.02;78.54;85.80;94.57;109.85
61 ;2.44;3.67;4.96;6.42;8.08;10.08;11.89;13.30;14.58;16.34;18.06;20.30;23.41;27.05;29.81;35.72;40.60;46.52;52.59;60.39;69.33;78.16;85.64;94.48;104.51;121.83
62 ;2.74;4.02;5.33;6.97;8.83;11.03;12.85;14.16;15.56;17.52;19.81;21.98;25.50;29.62;34.12;40.36;46.25;52.29;60.06;68.63;77.78;85.40;94.38;104.42;116.81;134.09
63 ;2.91;4.42;5.99;7.80;9.80;12.04;13.92;15.53;17.18;19.35;21.47;24.63;28.67;33.73;39.00;45.97;51.99;59.72;68.27;77.40;85.23;94.29;104.31;116.81;129.06;146.10
64 ;3.05;4.82;6.66;8.66;10.85;13.11;15.20;17.08;19.04;21.41;23.87;27.53;32.49;38.66;44.51;51.69;59.39;67.90;77.01;84.99;94.19;104.21;116.69;129.05;141.24;157.85
65 ;3.17;5.20;7.35;9.60;11.97;14.39;16.65;18.86;21.13;23.70;26.47;31.02;37.09;44.27;50.69;59.05;67.53;76.64;84.75;94.10;104.10;116.57;128.92;141.10;153.03;170.76
66 ;3.23;5.57;8.10;10.61;13.31;15.86;18.31;20.86;23.47;26.18;29.61;35.21;42.29;50.62;58.15;67.16;76.25;84.57;94.00;104.00;116.46;128.79;140.96;152.87;165.12;185.67
67 ;3.33;6.02;8.91;11.81;14.81;17.50;20.14;23.04;25.89;29.03;33.18;39.64;47.72;56.96;66.12;75.86;84.24;93.81;103.89;116.34;128.66;140.82;152.72;164.95;179.39;203.49
68 ;4.12;7.00;10.09;13.16;16.17;18.99;21.89;24.88;27.83;31.15;35.53;41.95;49.93;59.18;72.84;84.00;93.62;103.70;116.22;128.55;140.69;152.57;164.79;179.21;195.52;223.84
69 ;5.01;8.17;11.45;14.72;17.69;20.64;23.74;27.09;30.13;33.36;37.96;44.57;55.86;69.74;82.12;93.52;103.50;116.11;128.42;140.68;152.57;164.64;179.05;195.32;215.53;243.38
70 ;5.73;9.18;12.68;16.15;19.06;22.03;25.59;29.39;32.22;35.84;39.70;50.31;60.36;78.86;91.03;102.13;114.76;127.06;139.35;152.10;163.22;177.46;193.33;213.22;234.23;259.81
71 ;6.92;10.74;14.45;18.15;20.81;24.06;28.22;32.17;35.39;38.33;45.14;57.34;76.54;89.10;101.56;114.65;126.93;139.28;151.23;163.04;177.26;193.12;213.18;233.98;252.53;269.75
72 ;8.31;12.53;16.47;20.31;22.91;26.49;31.09;35.37;37.96;43.37;53.06;74.34;85.91;99.16;111.88;126.80;139.21;151.07;162.87;177.09;192.93;213.01;233.74;252.25;267.09;276.36
73 ;8.70;12.91;18.28;20.98;24.19;27.81;32.07;37.17;43.32;51.12;72.23;83.76;96.47;108.42;125.27;137.22;148.74;161.99;175.93;191.46;208.80;232.73;251.11;265.41;272.42;284.99
74 ;9.61;14.05;20.19;23.34;26.93;31.71;36.27;43.17;50.05;68.65;78.79;92.15;104.94;121.19;134.31;147.28;160.27;174.08;189.46;206.84;232.31;250.01;259.95;272.42;280.31;301.26
75 ;10.04;15.43;22.36;25.85;30.45;34.95;41.34;50.05;66.15;75.11;87.99;101.47;117.35;131.51;145.76;158.63;172.30;187.53;205.91;230.56;250.01;259.71;272.42;280.31;289.67;326.14
76 ;11.02;17.09;24.76;29.91;33.63;39.92;47.42;62.61;71.34;83.83;96.72;113.51;128.71;144.24;155.19;170.53;185.59;204.70;230.32;247.23;259.47;272.42;280.31;289.67;312.84;354.71
77 ;12.21;18.93;27.34;33.03;38.46;45.04;52.52;67.56;79.67;93.37;109.67;127.44;139.38;154.79;168.75;183.66;204.19;229.43;246.88;259.24;272.42;280.31;289.67;312.84;339.44;387.56
78 ;13.52;20.98;30.18;37.00;43.53;51.57;60.67;74.37;89.90;105.83;124.50;138.16;150.12;166.97;181.72;202.57;226.97;245.84;259.01;272.42;280.31;289.67;312.84;339.44;369.98;425.39
79 ;14.99;23.17;33.14;41.07;47.00;59.26;70.31;85.15;101.99;120.15;136.64;148.81;163.23;181.46;202.14;226.59;244.96;258.78;272.42;280.31;289.67;312.84;339.44;369.98;405.13;470.16
80 ;16.55;25.49;36.06;45.53;51.14;67.30;80.53;98.15;115.95;133.45;147.17;161.63;179.79;200.43;225.92;244.96;258.74;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;524.35
81 ;18.21;27.80;39.07;50.27;61.89;78.44;94.31;111.74;130.41;145.54;159.86;177.85;200.08;224.75;244.96;258.67;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;590.04
82 ;19.86;30.18;44.63;58.97;71.04;90.47;105.99;124.86;142.10;158.08;176.54;198.30;223.58;243.57;258.60;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;666.74
83 ;21.56;36.99;51.28;69.19;85.23;101.93;121.21;138.82;154.34;175.92;196.16;222.40;242.94;258.52;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;753.42
84 ;25.29;42.85;59.24;82.92;97.72;116.58;137.35;150.79;171.85;194.03;219.94;242.43;258.45;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;831.38
85 ;35.68;51.25;69.10;91.97;112.02;130.31;149.19;171.20;193.84;217.60;242.43;258.38;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;884.94
86 ;43.16;63.34;80.20;105.79;125.56;145.45;170.11;191.90;215.26;241.04;258.31;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;920.12
87 ;52.72;76.69;94.69;118.85;141.90;166.05;189.76;214.21;240.44;258.23;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;943.06
88 ;66.32;90.74;108.70;132.47;162.18;188.65;213.04;239.91;258.17;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;959.54
89 ;79.49;106.08;127.49;154.05;185.28;210.58;239.91;258.10;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;971.51
90 ;97.41;124.12;144.18;178.66;208.94;238.52;258.03;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;978.79
91 ;112.74;143.02;169.91;203.08;234.48;257.95;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;983.68
92 ;130.44;166.07;198.63;229.30;257.72;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;988.60
93 ;152.41;197.61;227.03;257.18;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;993.54
94 ;186.22;224.15;255.42;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;998.01
95 ;216.17;253.55;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;996.02;999.99
96 ;247.86;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;996.02;999.99;999.99
97 ;272.42;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;996.02;999.99;999.99;999.99
98 ;280.31;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;996.02;999.99;999.99;999.99;999.99
99 ;289.67;312.84;339.44;369.98;405.13;445.65;494.67;554.03;626.05;707.44;799.40;863.36;906.52;933.72;952.39;966.68;976.35;981.23;986.14;991.07;996.02;999.99;999.99;999.99;999.99;999.99
